hospede_id,pais,uf,cidade,faixa_etaria,segmento
74,Brasil,CE,Fortaleza,46-60,Corp
75,Brasil,RS,Porto Alegre,18-25,Lazer
76,Brasil,ES,Vitória,36-45,Corp
77,Brasil,BA,Salvador,36-45,Corp
78,Brasil,GO,Goiânia,26-35,Corp
79,Brasil,RS,Porto Alegre,36-45,Lazer
80,Brasil,CE,Fortaleza,36-45,Lazer
81,Brasil,PE,Recife,36-45,Corp
82,Brasil,RJ,Niterói,46-60,Lazer
83,Brasil,RS,Porto Alegre,36-45,Lazer
84,Brasil,GO,Goiânia,18-25,Lazer
85,Brasil,RS,Porto Alegre,26-35,Lazer
86,Brasil,CE,Fortaleza,36-45,Lazer
87,Brasil,BA,Salvador,26-35,Lazer
88,Brasil,SP,Campinas,46-60,Lazer
89,Brasil,CE,Fortaleza,26-35,Lazer
90,Brasil,GO,Goiânia,18-25,Lazer
91,Brasil,PR,Curitiba,26-35,Lazer
92,Brasil,RJ,Niterói,46-60,Lazer
93,Brasil,PR,Curitiba,36-45,Lazer
94,Brasil,RJ,Niterói,36-45,Corp
95,Brasil,PE,Recife,26-35,Lazer
96,Brasil,CE,Fortaleza,46-60,Lazer
97,Brasil,SP,São Paulo,46-60,Lazer
98,Brasil,ES,Vitória,26-35,Lazer
99,Brasil,CE,Fortaleza,46-60,Lazer
100,Brasil,CE,Fortaleza,46-60,Corp
101,Brasil,ES,Vitória,26-35,Lazer
102,Brasil,PE,Recife,26-35,Lazer
103,Brasil,DF,Brasília,36-45,Lazer
104,Brasil,SP,Campinas,26-35,Lazer
105,Brasil,SP,Campinas,46-60,Lazer
106,Brasil,PE,Recife,36-45,Lazer
107,Brasil,RS,Porto Alegre,26-35,Lazer
108,Brasil,RJ,Rio de Janeiro,26-35,Lazer
109,Brasil,CE,Fortaleza,36-45,Lazer
110,Brasil,RJ,Niterói,18-25,Corp
111,Brasil,RJ,Rio de Janeiro,26-35,Lazer
112,Brasil,SP,São Paulo,18-25,Corp
113,Brasil,SP,Campinas,46-60,Lazer
114,Brasil,RJ,Niterói,18-25,Corp
115,Brasil,DF,Brasília,18-25,Lazer
116,Brasil,PR,Curitiba,46-60,Corp
117,Brasil,CE,Fortaleza,18-25,Lazer
118,Brasil,GO,Goiânia,36-45,Lazer
119,Brasil,DF,Brasília,26-35,Lazer
120,Brasil,DF,Brasília,46-60,Corp
121,Brasil,SP,São Paulo,26-35,Lazer
122,Brasil,SC,Florianópolis,18-25,Corp
123,Brasil,PE,Recife,26-35,Corp
124,Brasil,RJ,Rio de Janeiro,60+,Lazer
125,Brasil,GO,Goiânia,46-60,Corp
126,Brasil,GO,Goiânia,26-35,Lazer
127,Brasil,DF,Brasília,26-35,Lazer
128,Brasil,BA,Salvador,18-25,Lazer
129,Brasil,SP,São Paulo,26-35,Corp
130,Brasil,SC,Florianópolis,26-35,Lazer
131,Brasil,ES,Vitória,46-60,Lazer
132,Brasil,SC,Florianópolis,18-25,Lazer
133,Brasil,SP,Campinas,46-60,Corp
134,Brasil,SP,São Paulo,18-25,Lazer
135,Brasil,GO,Goiânia,46-60,Lazer
136,Brasil,CE,Fortaleza,26-35,Lazer
137,Brasil,DF,Brasília,18-25,Lazer
138,Brasil,GO,Goiânia,46-60,Lazer
139,Brasil,PR,Curitiba,26-35,Corp
140,Brasil,SP,Campinas,46-60,Lazer
141,Brasil,GO,Goiânia,46-60,Lazer
142,Brasil,SC,Florianópolis,60+,Corp
143,Brasil,RS,Porto Alegre,46-60,Lazer
144,Brasil,PE,Recife,26-35,Corp
145,Brasil,SP,Campinas,26-35,Lazer
146,Brasil,BA,Salvador,36-45,Lazer
147,Brasil,RJ,Rio de Janeiro,26-35,Corp
148,Brasil,BA,Salvador,36-45,Corp
149,Brasil,PR,Curitiba,26-35,Lazer
150,Brasil,PR,Curitiba,36-45,Lazer
151,Brasil,SP,São Paulo,26-35,Lazer
152,Brasil,DF,Brasília,18-25,Corp
153,Brasil,PR,Curitiba,60+,Lazer
154,Brasil,PR,Curitiba,46-60,Lazer
155,Brasil,GO,Goiânia,26-35,Lazer
156,Brasil,PR,Curitiba,18-25,Lazer
157,Brasil,GO,Goiânia,46-60,Lazer
158,Brasil,SP,Campinas,26-35,Corp
159,Brasil,DF,Brasília,36-45,Lazer
160,Brasil,PE,Recife,46-60,Lazer
161,Brasil,SC,Florianópolis,26-35,Corp
162,Brasil,GO,Goiânia,26-35,Corp
163,Brasil,SC,Florianópolis,18-25,Corp
164,Brasil,ES,Vitória,26-35,Corp
165,Brasil,SC,Florianópolis,36-45,Corp
166,Brasil,PE,Recife,18-25,Lazer
167,Brasil,ES,Vitória,60+,Corp
168,Brasil,RS,Porto Alegre,46-60,Lazer
169,Brasil,RJ,Niterói,26-35,Lazer
170,Brasil,PE,Recife,36-45,Lazer
171,Brasil,SC,Florianópolis,26-35,Lazer
172,Brasil,SP,São Paulo,26-35,Corp
173,Brasil,MG,Belo Horizonte,36-45,Corp
174,Brasil,SP,Campinas,18-25,Lazer
175,Brasil,MG,Belo Horizonte,26-35,Corp
176,Brasil,GO,Goiânia,18-25,Corp
177,Brasil,PR,Curitiba,26-35,Lazer
178,Brasil,BA,Salvador,36-45,Corp
179,Brasil,SC,Florianópolis,60+,Lazer
180,Brasil,BA,Salvador,36-45,Lazer
181,Brasil,GO,Goiânia,60+,Lazer
182,Brasil,SC,Florianópolis,36-45,Corp
183,Brasil,SP,Campinas,26-35,Lazer
184,Brasil,ES,Vitória,46-60,Lazer
185,Brasil,PR,Curitiba,18-25,Lazer
186,Brasil,MG,Belo Horizonte,18-25,Corp
187,Brasil,GO,Goiânia,60+,Corp
188,Brasil,BA,Salvador,36-45,Lazer
189,Brasil,RJ,Niterói,60+,Corp
190,Brasil,BA,Salvador,18-25,Lazer
191,Brasil,CE,Fortaleza,46-60,Lazer
192,Brasil,RJ,Niterói,26-35,Lazer
193,Brasil,SC,Florianópolis,26-35,Lazer
194,Brasil,SP,Campinas,46-60,Corp
195,Brasil,RJ,Niterói,26-35,Lazer
196,Brasil,CE,Fortaleza,36-45,Lazer
197,Brasil,SP,São Paulo,46-60,Corp
198,Brasil,SC,Florianópolis,46-60,Corp
199,Brasil,RJ,Rio de Janeiro,18-25,Lazer
200,Brasil,BA,Salvador,18-25,Corp
201,Brasil,RJ,Rio de Janeiro,46-60,Corp
202,Brasil,BA,Salvador,36-45,Lazer
203,Brasil,PE,Recife,36-45,Lazer
204,Brasil,RS,Porto Alegre,18-25,Lazer
205,Brasil,CE,Fortaleza,18-25,Corp
206,Brasil,SP,São Paulo,60+,Lazer
207,Brasil,MG,Belo Horizonte,26-35,Corp
208,Brasil,BA,Salvador,46-60,Lazer
209,Brasil,ES,Vitória,26-35,Lazer
210,Brasil,SP,São Paulo,26-35,Corp
211,Brasil,PE,Recife,36-45,Lazer
212,Brasil,RS,Porto Alegre,46-60,Corp
213,Brasil,MG,Belo Horizonte,26-35,Lazer
214,Brasil,RJ,Niterói,26-35,Lazer
215,Brasil,ES,Vitória,36-45,Corp
216,Brasil,PR,Curitiba,18-25,Lazer
217,Brasil,RS,Porto Alegre,26-35,Lazer
218,Brasil,ES,Vitória,36-45,Lazer
219,Brasil,ES,Vitória,18-25,Lazer
220,Brasil,DF,Brasília,36-45,Lazer
221,Brasil,CE,Fortaleza,18-25,Lazer
222,Brasil,SC,Florianópolis,36-45,Lazer
223,Brasil,BA,Salvador,46-60,Lazer
224,Brasil,PE,Recife,46-60,Corp
225,Brasil,BA,Salvador,36-45,Lazer
226,Brasil,RS,Porto Alegre,36-45,Lazer
227,Brasil,PE,Recife,26-35,Lazer
228,Brasil,MG,Belo Horizonte,26-35,Corp
229,Brasil,RJ,Niterói,18-25,Lazer
230,Brasil,SP,Campinas,36-45,Lazer
231,Brasil,SP,Campinas,18-25,Corp
232,Brasil,RJ,Rio de Janeiro,26-35,Corp
233,Brasil,CE,Fortaleza,36-45,Corp
234,Brasil,SP,Campinas,36-45,Lazer
235,Brasil,RJ,Niterói,26-35,Lazer
236,Brasil,RJ,Niterói,26-35,Lazer
237,Brasil,SP,Campinas,36-45,Lazer
238,Brasil,BA,Salvador,60+,Lazer
239,Brasil,PE,Recife,36-45,Lazer
240,Brasil,RS,Porto Alegre,26-35,Lazer
241,Brasil,SC,Florianópolis,46-60,Lazer
242,Brasil,RS,Porto Alegre,18-25,Corp
243,Brasil,DF,Brasília,26-35,Lazer
244,Brasil,MG,Belo Horizonte,18-25,Corp
245,Brasil,RJ,Niterói,26-35,Lazer
246,Brasil,CE,Fortaleza,36-45,Lazer
247,Brasil,RJ,Rio de Janeiro,36-45,Corp
248,Brasil,SP,Campinas,46-60,Lazer
249,Brasil,SC,Florianópolis,36-45,Corp
250,Brasil,CE,Fortaleza,26-35,Corp
251,Brasil,RS,Porto Alegre,36-45,Corp
252,Brasil,CE,Fortaleza,46-60,Lazer
253,Brasil,CE,Fortaleza,36-45,Lazer
254,Brasil,MG,Belo Horizonte,26-35,Lazer
255,Brasil,SP,Campinas,36-45,Corp
256,Brasil,SP,Campinas,36-45,Lazer
257,Brasil,DF,Brasília,26-35,Lazer
258,Brasil,PE,Recife,46-60,Corp
259,Brasil,RJ,Niterói,26-35,Lazer
260,Brasil,CE,Fortaleza,18-25,Lazer
261,Brasil,PR,Curitiba,46-60,Corp
262,Brasil,CE,Fortaleza,46-60,Lazer
263,Brasil,SP,Campinas,36-45,Lazer
264,Brasil,RJ,Rio de Janeiro,26-35,Lazer
265,Brasil,SP,São Paulo,60+,Lazer
266,Brasil,SP,São Paulo,26-35,Lazer
267,Brasil,RJ,Rio de Janeiro,26-35,Corp
268,Brasil,MG,Belo Horizonte,36-45,Lazer
269,Brasil,RS,Porto Alegre,26-35,Lazer
270,Brasil,PE,Recife,36-45,Corp
271,Brasil,RS,Porto Alegre,60+,Corp
272,Brasil,SP,São Paulo,26-35,Lazer
273,Brasil,BA,Salvador,18-25,Corp
274,Brasil,MG,Belo Horizonte,26-35,Lazer
275,Brasil,SP,São Paulo,36-45,Lazer
276,Brasil,PE,Recife,36-45,Corp
277,Brasil,RS,Porto Alegre,60+,Lazer
278,Brasil,PR,Curitiba,36-45,Lazer
279,Brasil,PR,Curitiba,60+,Corp
280,Brasil,MG,Belo Horizonte,26-35,Lazer
281,Brasil,BA,Salvador,26-35,Lazer
282,Brasil,ES,Vitória,26-35,Corp
283,Brasil,GO,Goiânia,46-60,Lazer
284,Brasil,PR,Curitiba,26-35,Lazer
285,Brasil,SP,São Paulo,26-35,Lazer
286,Brasil,PE,Recife,26-35,Lazer
287,Brasil,MG,Belo Horizonte,26-35,Lazer
288,Brasil,RJ,Niterói,36-45,Corp
289,Brasil,CE,Fortaleza,46-60,Lazer
290,Brasil,DF,Brasília,18-25,Corp
291,Brasil,SP,Campinas,36-45,Lazer
292,Brasil,SP,Campinas,18-25,Lazer
293,Brasil,MG,Belo Horizonte,26-35,Corp
294,Brasil,DF,Brasília,26-35,Lazer
295,Brasil,PE,Recife,36-45,Lazer
296,Brasil,DF,Brasília,36-45,Corp
297,Brasil,SP,Campinas,36-45,Lazer
298,Brasil,DF,Brasília,46-60,Lazer
299,Brasil,MG,Belo Horizonte,26-35,Lazer
300,Brasil,GO,Goiânia,46-60,Lazer
301,Brasil,PE,Recife,36-45,Lazer
302,Brasil,SC,Florianópolis,18-25,Lazer
303,Brasil,PE,Recife,26-35,Corp
304,Brasil,RJ,Niterói,18-25,Lazer
305,Brasil,RS,Porto Alegre,18-25,Lazer
306,Brasil,RJ,Rio de Janeiro,26-35,Lazer
307,Brasil,RS,Porto Alegre,26-35,Corp
308,Brasil,MG,Belo Horizonte,46-60,Corp
309,Brasil,PE,Recife,46-60,Lazer
310,Brasil,PR,Curitiba,36-45,Lazer
311,Brasil,SC,Florianópolis,46-60,Lazer
312,Brasil,MG,Belo Horizonte,60+,Corp
313,Brasil,RJ,Niterói,26-35,Corp
314,Brasil,SC,Florianópolis,36-45,Lazer
315,Brasil,SP,Campinas,36-45,Lazer
316,Brasil,SC,Florianópolis,60+,Corp
317,Brasil,PR,Curitiba,46-60,Corp
318,Brasil,PE,Recife,18-25,Lazer
319,Brasil,MG,Belo Horizonte,36-45,Lazer
320,Brasil,BA,Salvador,26-35,Lazer
321,Brasil,SC,Florianópolis,26-35,Lazer
322,Brasil,DF,Brasília,36-45,Corp
323,Brasil,RJ,Niterói,36-45,Lazer
324,Brasil,SC,Florianópolis,18-25,Corp
325,Brasil,PR,Curitiba,26-35,Lazer
326,Brasil,PE,Recife,36-45,Lazer
327,Brasil,ES,Vitória,18-25,Lazer
328,Brasil,SC,Florianópolis,46-60,Lazer
329,Brasil,MG,Belo Horizonte,26-35,Lazer
330,Brasil,SP,Campinas,36-45,Lazer
331,Brasil,SC,Florianópolis,18-25,Corp
332,Brasil,RJ,Rio de Janeiro,60+,Corp
333,Brasil,ES,Vitória,46-60,Lazer
334,Brasil,PE,Recife,26-35,Lazer
335,Brasil,PE,Recife,36-45,Corp
336,Brasil,SC,Florianópolis,46-60,Lazer
337,Brasil,PR,Curitiba,18-25,Lazer
338,Brasil,DF,Brasília,36-45,Corp
339,Brasil,RJ,Rio de Janeiro,46-60,Lazer
340,Brasil,DF,Brasília,36-45,Lazer
341,Brasil,SP,São Paulo,60+,Lazer
342,Brasil,SC,Florianópolis,18-25,Corp
343,Brasil,MG,Belo Horizonte,46-60,Lazer
344,Brasil,SC,Florianópolis,60+,Lazer
345,Brasil,ES,Vitória,18-25,Lazer
346,Brasil,PE,Recife,26-35,Lazer
347,Brasil,DF,Brasília,36-45,Lazer
348,Brasil,GO,Goiânia,46-60,Corp
349,Brasil,SP,São Paulo,18-25,Corp
350,Brasil,BA,Salvador,26-35,Corp
351,Brasil,PR,Curitiba,46-60,Corp
352,Brasil,RJ,Rio de Janeiro,26-35,Lazer
353,Brasil,RJ,Rio de Janeiro,36-45,Lazer
354,Brasil,RJ,Rio de Janeiro,36-45,Lazer
355,Brasil,SC,Florianópolis,60+,Lazer
356,Brasil,PR,Curitiba,18-25,Lazer
357,Brasil,SC,Florianópolis,60+,Lazer
358,Brasil,DF,Brasília,36-45,Lazer
359,Brasil,RJ,Rio de Janeiro,46-60,Corp
360,Brasil,DF,Brasília,18-25,Lazer
361,Brasil,SP,Campinas,36-45,Corp
362,Brasil,BA,Salvador,46-60,Corp
363,Brasil,PE,Recife,46-60,Corp
364,Brasil,MG,Belo Horizonte,18-25,Corp
365,Brasil,PE,Recife,26-35,Corp
366,Brasil,CE,Fortaleza,18-25,Lazer
367,Brasil,RJ,Rio de Janeiro,18-25,Corp
368,Brasil,DF,Brasília,36-45,Lazer
369,Brasil,RJ,Rio de Janeiro,60+,Corp
370,Brasil,ES,Vitória,36-45,Lazer
371,Brasil,PR,Curitiba,18-25,Lazer
372,Brasil,RJ,Niterói,26-35,Corp
373,Brasil,CE,Fortaleza,26-35,Corp
374,Brasil,BA,Salvador,18-25,Lazer
375,Brasil,RJ,Niterói,46-60,Lazer
376,Brasil,CE,Fortaleza,26-35,Lazer
377,Brasil,RJ,Rio de Janeiro,18-25,Lazer
378,Brasil,CE,Fortaleza,46-60,Corp
379,Brasil,SP,Campinas,18-25,Lazer
380,Brasil,DF,Brasília,26-35,Corp
381,Brasil,PE,Recife,36-45,Lazer
382,Brasil,PE,Recife,18-25,Lazer
383,Brasil,PE,Recife,36-45,Lazer
384,Brasil,RJ,Niterói,36-45,Lazer
385,Brasil,CE,Fortaleza,36-45,Corp
386,Brasil,SP,Campinas,26-35,Lazer
387,Brasil,RJ,Niterói,26-35,Lazer
388,Brasil,BA,Salvador,36-45,Lazer
389,Brasil,PR,Curitiba,18-25,Corp
390,Brasil,MG,Belo Horizonte,18-25,Lazer
391,Brasil,RJ,Niterói,26-35,Lazer
392,Brasil,BA,Salvador,18-25,Lazer
393,Brasil,SP,São Paulo,18-25,Corp
394,Brasil,RJ,Rio de Janeiro,60+,Lazer
395,Brasil,PR,Curitiba,26-35,Lazer
396,Brasil,RJ,Rio de Janeiro,36-45,Lazer
397,Brasil,PE,Recife,26-35,Lazer
398,Brasil,DF,Brasília,18-25,Lazer
399,Brasil,GO,Goiânia,46-60,Lazer
400,Brasil,RJ,Niterói,46-60,Lazer
401,Brasil,PR,Curitiba,60+,Lazer
402,Brasil,DF,Brasília,18-25,Corp
403,Brasil,ES,Vitória,18-25,Lazer
404,Brasil,MG,Belo Horizonte,36-45,Lazer
405,Brasil,DF,Brasília,26-35,Lazer
406,Brasil,MG,Belo Horizonte,18-25,Lazer
407,Brasil,PE,Recife,26-35,Corp
408,Brasil,RJ,Niterói,18-25,Lazer
409,Brasil,RS,Porto Alegre,46-60,Corp
410,Brasil,RJ,Rio de Janeiro,46-60,Lazer
411,Brasil,GO,Goiânia,36-45,Lazer
412,Brasil,MG,Belo Horizonte,26-35,Corp
413,Brasil,RJ,Rio de Janeiro,46-60,Lazer
414,Brasil,DF,Brasília,36-45,Lazer
415,Brasil,PE,Recife,46-60,Lazer
416,Brasil,GO,Goiânia,36-45,Lazer
417,Brasil,PR,Curitiba,60+,Corp
418,Brasil,RJ,Rio de Janeiro,26-35,Lazer
419,Brasil,SP,Campinas,36-45,Corp
420,Brasil,RJ,Rio de Janeiro,46-60,Corp
421,Brasil,RJ,Rio de Janeiro,46-60,Lazer
422,Brasil,SP,São Paulo,60+,Corp
423,Brasil,CE,Fortaleza,26-35,Lazer
424,Brasil,SC,Florianópolis,36-45,Corp
425,Brasil,ES,Vitória,26-35,Lazer
426,Brasil,SP,São Paulo,36-45,Lazer
427,Brasil,ES,Vitória,26-35,Lazer
428,Brasil,SP,Campinas,26-35,Lazer
429,Brasil,PR,Curitiba,60+,Corp
430,Brasil,GO,Goiânia,46-60,Lazer
431,Brasil,RJ,Niterói,36-45,Lazer
432,Brasil,GO,Goiânia,18-25,Corp
433,Brasil,SP,Campinas,26-35,Lazer
434,Brasil,RS,Porto Alegre,18-25,Lazer
435,Brasil,SP,Campinas,18-25,Corp
436,Brasil,SP,São Paulo,46-60,Lazer
437,Brasil,PR,Curitiba,36-45,Lazer
438,Brasil,BA,Salvador,18-25,Lazer
439,Brasil,CE,Fortaleza,36-45,Lazer
440,Brasil,SP,Campinas,18-25,Lazer
441,Brasil,PE,Recife,26-35,Lazer
442,Brasil,RS,Porto Alegre,26-35,Lazer
443,Brasil,DF,Brasília,26-35,Lazer
444,Brasil,SC,Florianópolis,36-45,Corp
445,Brasil,SC,Florianópolis,36-45,Lazer
446,Brasil,RJ,Niterói,36-45,Lazer
447,Brasil,ES,Vitória,46-60,Lazer
448,Brasil,GO,Goiânia,46-60,Corp
449,Brasil,RJ,Niterói,46-60,Lazer
450,Brasil,PR,Curitiba,60+,Corp
451,Brasil,SP,São Paulo,60+,Lazer
452,Brasil,DF,Brasília,46-60,Lazer
453,Brasil,PE,Recife,26-35,Lazer
454,Brasil,RJ,Rio de Janeiro,26-35,Lazer
455,Brasil,DF,Brasília,46-60,Lazer
456,Brasil,BA,Salvador,46-60,Lazer
457,Brasil,PE,Recife,46-60,Lazer
458,Brasil,RJ,Rio de Janeiro,36-45,Corp
459,Brasil,SP,São Paulo,46-60,Lazer
460,Brasil,SC,Florianópolis,36-45,Corp
461,Brasil,SC,Florianópolis,36-45,Corp
462,Brasil,RJ,Niterói,18-25,Lazer
463,Brasil,SP,São Paulo,26-35,Lazer
464,Brasil,MG,Belo Horizonte,18-25,Lazer
465,Brasil,RJ,Rio de Janeiro,18-25,Lazer
466,Brasil,SC,Florianópolis,36-45,Lazer
467,Brasil,RS,Porto Alegre,18-25,Lazer
468,Brasil,SC,Florianópolis,46-60,Lazer
469,Brasil,PR,Curitiba,26-35,Lazer
470,Brasil,ES,Vitória,36-45,Corp
471,Brasil,ES,Vitória,18-25,Lazer
472,Brasil,RS,Porto Alegre,46-60,Lazer
473,Brasil,PR,Curitiba,26-35,Lazer
474,Brasil,RS,Porto Alegre,36-45,Corp
475,Brasil,RS,Porto Alegre,36-45,Corp
476,Brasil,ES,Vitória,36-45,Lazer
477,Brasil,GO,Goiânia,36-45,Corp
478,Brasil,MG,Belo Horizonte,46-60,Lazer
479,Brasil,GO,Goiânia,46-60,Lazer
480,Brasil,RJ,Rio de Janeiro,26-35,Lazer
481,Brasil,PR,Curitiba,60+,Corp
482,Brasil,PR,Curitiba,26-35,Lazer
483,Brasil,GO,Goiânia,26-35,Lazer
484,Brasil,RJ,Rio de Janeiro,26-35,Lazer
485,Brasil,SP,Campinas,26-35,Corp
486,Brasil,PR,Curitiba,26-35,Corp
487,Brasil,DF,Brasília,46-60,Lazer
488,Brasil,PR,Curitiba,36-45,Lazer
489,Brasil,ES,Vitória,60+,Lazer
490,Brasil,SP,São Paulo,18-25,Corp
491,Brasil,PE,Recife,36-45,Lazer
492,Brasil,SC,Florianópolis,18-25,Lazer
493,Brasil,RJ,Rio de Janeiro,26-35,Lazer
494,Brasil,RS,Porto Alegre,26-35,Lazer
495,Brasil,RJ,Niterói,36-45,Lazer
496,Brasil,CE,Fortaleza,46-60,Lazer
497,Brasil,RS,Porto Alegre,26-35,Corp
498,Brasil,GO,Goiânia,26-35,Corp
499,Brasil,RJ,Rio de Janeiro,26-35,Lazer
500,Brasil,MG,Belo Horizonte,26-35,Lazer
501,Brasil,RS,Porto Alegre,36-45,Lazer
502,Brasil,SP,Campinas,36-45,Lazer
503,Brasil,RS,Porto Alegre,46-60,Lazer
504,Brasil,SP,São Paulo,60+,Lazer
505,Brasil,SP,São Paulo,26-35,Lazer
506,Brasil,CE,Fortaleza,46-60,Corp
507,Brasil,RS,Porto Alegre,46-60,Lazer
508,Brasil,SP,São Paulo,18-25,Lazer
509,Brasil,GO,Goiânia,46-60,Lazer
510,Brasil,GO,Goiânia,36-45,Corp
511,Brasil,RJ,Niterói,36-45,Lazer
512,Brasil,MG,Belo Horizonte,36-45,Lazer
513,Brasil,CE,Fortaleza,46-60,Lazer
514,Brasil,PR,Curitiba,46-60,Lazer
515,Brasil,SP,Campinas,46-60,Lazer
516,Brasil,CE,Fortaleza,26-35,Lazer
517,Brasil,PE,Recife,60+,Lazer
518,Brasil,MG,Belo Horizonte,36-45,Lazer
519,Brasil,SP,Campinas,46-60,Lazer
520,Brasil,SC,Florianópolis,46-60,Lazer
521,Brasil,CE,Fortaleza,18-25,Corp
522,Brasil,RS,Porto Alegre,26-35,Lazer
523,Brasil,RS,Porto Alegre,46-60,Corp
524,Brasil,SC,Florianópolis,60+,Lazer
525,Brasil,SC,Florianópolis,46-60,Corp
526,Brasil,ES,Vitória,36-45,Lazer
527,Brasil,PR,Curitiba,26-35,Corp
528,Brasil,PR,Curitiba,36-45,Lazer
529,Brasil,SP,Campinas,26-35,Lazer
530,Brasil,PR,Curitiba,46-60,Lazer
531,Brasil,ES,Vitória,36-45,Lazer
532,Brasil,SC,Florianópolis,26-35,Lazer
533,Brasil,SC,Florianópolis,36-45,Lazer
534,Brasil,BA,Salvador,60+,Lazer
535,Brasil,SC,Florianópolis,36-45,Lazer
536,Brasil,PR,Curitiba,26-35,Lazer
537,Brasil,BA,Salvador,36-45,Corp
538,Brasil,SP,São Paulo,26-35,Lazer
539,Brasil,SP,Campinas,26-35,Lazer
540,Brasil,RS,Porto Alegre,46-60,Lazer
541,Brasil,SP,Campinas,26-35,Lazer
542,Brasil,RJ,Niterói,36-45,Corp
543,Brasil,SP,Campinas,26-35,Corp
544,Brasil,PE,Recife,26-35,Lazer
545,Brasil,SP,São Paulo,36-45,Lazer
546,Brasil,SP,São Paulo,36-45,Lazer
547,Brasil,BA,Salvador,18-25,Lazer
548,Brasil,BA,Salvador,26-35,Lazer
549,Brasil,GO,Goiânia,46-60,Corp
550,Brasil,SP,Campinas,46-60,Lazer
551,Brasil,BA,Salvador,18-25,Lazer
552,Brasil,MG,Belo Horizonte,18-25,Corp
553,Brasil,SP,Campinas,60+,Lazer
554,Brasil,MG,Belo Horizonte,18-25,Lazer
555,Brasil,SP,Campinas,60+,Lazer
556,Brasil,SC,Florianópolis,46-60,Lazer
557,Brasil,DF,Brasília,18-25,Lazer
