pagamento_id,reserva_id,data_pagamento_id,forma_pagamento,valor_pago,status_pagamento,taxa_gateway
68,77,20250721,Crédito,1701.05,Aprovado,47.63
69,78,20240701,PIX,442.81,Aprovado,5.31
70,79,20250625,Boleto,591.31,Aprovado,7.1
71,79,20250622,PIX,579.93,Aprovado,6.96
72,80,20250515,PIX,798.01,Aprovado,9.58
73,80,20250518,Débito,795.45,Aprovado,22.27
74,81,20251213,Débito,3293.99,Aprovado,92.23
75,82,20240803,Crédito,998.76,Aprovado,27.97
76,83,20240729,PIX,4111.43,Aprovado,49.34
77,84,20250715,Crédito,470.25,Aprovado,13.17
78,85,20250130,Crédito,285.35,Aprovado,7.99
79,87,20240215,Crédito,1040.05,Aprovado,29.12
80,89,20251225,PIX,1115.0,Aprovado,13.38
81,90,20241214,Crédito,653.07,Aprovado,18.29
82,91,20250821,Débito,646.99,Aprovado,18.12
83,92,20240916,PIX,495.04,Aprovado,5.94
84,93,20250310,PIX,507.95,Aprovado,6.1
85,94,20251226,Crédito,1830.55,Aprovado,51.26
86,95,20240414,PIX,455.67,Aprovado,5.47
87,96,20251003,Crédito,7429.37,Aprovado,208.02
88,98,20251030,Crédito,414.36,Aprovado,11.6
89,99,20241208,Crédito,1064.98,Aprovado,29.82
90,100,20240703,Crédito,420.46,Aprovado,11.77
91,101,20250811,PIX,376.35,Aprovado,4.52
92,102,20250216,Crédito,3600.9,Aprovado,100.83
93,103,20250714,Débito,833.67,Aprovado,23.34
94,104,20240328,PIX,378.05,Aprovado,4.54
95,105,20250723,Crédito,147.37,Aprovado,4.13
96,107,20240710,Crédito,1128.65,Aprovado,31.6
97,108,20240727,PIX,490.35,Aprovado,5.88
98,110,20250920,Boleto,4955.17,Aprovado,59.46
99,111,20250305,Crédito,301.94,Aprovado,8.45
100,112,20241106,Crédito,94.81,Aprovado,2.65
101,112,20241105,Crédito,93.7,Aprovado,2.62
102,113,20240725,Débito,2964.36,Aprovado,83.0
103,114,20250519,Débito,0.0,Aprovado,0.0
104,115,20250803,PIX,2134.38,Aprovado,25.61
105,116,20251025,PIX,1172.3,Aprovado,14.07
106,117,20251227,PIX,1534.94,Aprovado,18.42
107,118,20251017,Boleto,425.85,Aprovado,5.11
108,118,20251021,Crédito,428.76,Aprovado,12.01
109,119,20251230,Crédito,3066.99,Aprovado,85.88
110,120,20240826,PIX,869.33,Aprovado,10.43
111,121,20250928,Boleto,162.11,Aprovado,1.95
112,122,20240222,Crédito,3028.71,Aprovado,84.8
113,123,20250203,PIX,441.41,Aprovado,5.3
114,124,20250111,Crédito,383.02,Aprovado,10.72
115,124,20250114,Crédito,373.95,Aprovado,10.47
116,125,20250923,Crédito,100.4,Aprovado,2.81
117,126,20250123,Débito,342.65,Aprovado,9.59
118,127,20251112,PIX,221.89,Aprovado,2.66
119,129,20241110,Crédito,225.49,Aprovado,6.31
120,130,20240927,PIX,489.87,Aprovado,5.88
121,131,20240730,PIX,985.92,Aprovado,11.83
122,132,20250223,Débito,212.86,Aprovado,5.96
123,132,20250226,Boleto,212.24,Aprovado,2.55
124,133,20250201,Crédito,3443.47,Aprovado,96.42
125,134,20250402,Crédito,351.46,Aprovado,9.84
126,135,20250709,Boleto,243.36,Estornado,2.92
127,136,20240129,Boleto,1135.91,Aprovado,13.63
128,137,20240804,Crédito,818.15,Aprovado,22.91
129,138,20241209,Crédito,399.78,Aprovado,11.19
130,140,20240206,Crédito,2516.49,Aprovado,70.46
131,141,20250517,Crédito,1274.33,Aprovado,35.68
132,143,20240908,Crédito,1043.83,Aprovado,29.23
133,143,20240910,PIX,1036.54,Estornado,12.44
134,144,20251005,Crédito,722.24,Aprovado,20.22
135,144,20251001,Crédito,727.54,Aprovado,20.37
136,146,20251223,Crédito,395.15,Aprovado,11.06
137,146,20251224,Crédito,390.84,Aprovado,10.94
138,147,20241003,Crédito,941.6,Aprovado,26.36
139,148,20250104,PIX,3686.76,Aprovado,44.24
140,150,20240607,Crédito,1134.72,Aprovado,31.77
141,151,20250914,Crédito,5431.62,Aprovado,152.09
142,152,20240517,Crédito,580.78,Aprovado,16.26
143,153,20241112,PIX,336.45,Aprovado,4.04
144,154,20251102,Crédito,1999.28,Aprovado,55.98
145,155,20241013,Crédito,2423.88,Aprovado,67.87
146,156,20240529,Crédito,1925.6,Aprovado,53.92
147,157,20250925,Débito,8390.62,Aprovado,234.94
148,158,20241214,PIX,707.56,Aprovado,8.49
149,159,20240413,Crédito,328.59,Aprovado,9.2
150,160,20240422,Crédito,389.31,Aprovado,10.9
151,161,20250624,Boleto,2440.78,Aprovado,29.29
152,164,20241003,Boleto,284.27,Aprovado,3.41
153,165,20250719,Crédito,348.64,Aprovado,9.76
154,166,20250907,Crédito,900.37,Aprovado,25.21
155,167,20240820,Crédito,349.73,Aprovado,9.79
156,168,20240917,Boleto,1817.3,Aprovado,21.81
157,169,20241001,Crédito,2790.46,Aprovado,78.13
158,171,20250110,Crédito,739.33,Aprovado,20.7
159,173,20240214,Boleto,2113.07,Aprovado,25.36
160,174,20251210,Crédito,1977.81,Aprovado,55.38
161,176,20241022,Crédito,255.12,Aprovado,7.14
162,178,20250909,Crédito,880.01,Aprovado,24.64
163,179,20240802,PIX,63.39,Aprovado,0.76
164,180,20251106,Crédito,975.25,Aprovado,27.31
165,181,20240425,PIX,2362.87,Aprovado,28.35
166,182,20251225,Crédito,1180.59,Aprovado,33.06
167,183,20250226,Crédito,393.63,Aprovado,11.02
168,184,20240703,Débito,600.88,Aprovado,16.82
169,185,20250910,Crédito,449.55,Aprovado,12.59
170,185,20250910,Crédito,446.33,Aprovado,12.5
171,186,20240316,Crédito,1700.67,Aprovado,47.62
172,187,20241207,PIX,575.67,Aprovado,6.91
173,188,20251025,Crédito,1943.8,Aprovado,54.43
174,189,20241229,Crédito,384.33,Aprovado,10.76
175,190,20251120,PIX,467.46,Aprovado,5.61
176,191,20240923,Boleto,1154.98,Aprovado,13.86
177,192,20250919,PIX,837.27,Aprovado,10.05
178,193,20240818,Crédito,420.97,Aprovado,11.79
179,195,20251030,PIX,950.71,Aprovado,11.41
180,196,20250929,PIX,1291.8,Aprovado,15.5
181,197,20251207,Crédito,2094.79,Aprovado,58.65
182,198,20240602,Boleto,189.96,Aprovado,2.28
183,199,20260103,Crédito,433.21,Aprovado,12.13
184,200,20250331,Crédito,404.53,Aprovado,11.33
185,202,20251222,Crédito,513.39,Aprovado,14.37
186,203,20251121,Débito,1609.2,Aprovado,45.06
187,204,20241027,PIX,666.22,Aprovado,7.99
188,205,20240424,Débito,566.6,Aprovado,15.86
189,206,20250430,PIX,225.81,Aprovado,2.71
190,207,20250108,Crédito,1662.1,Aprovado,46.54
191,208,20240517,Crédito,2303.86,Aprovado,64.51
192,209,20240527,Crédito,308.53,Aprovado,8.64
193,210,20250718,Crédito,1175.72,Aprovado,32.92
194,211,20240529,Crédito,662.47,Aprovado,18.55
195,212,20250924,Débito,411.84,Aprovado,11.53
196,213,20240925,PIX,652.12,Aprovado,7.83
197,213,20240926,PIX,655.1,Aprovado,7.86
198,214,20241029,PIX,347.88,Aprovado,4.17
199,215,20240430,Crédito,2063.51,Estornado,57.78
200,216,20240730,Crédito,1168.07,Aprovado,32.71
201,218,20240426,Boleto,241.41,Aprovado,2.9
202,219,20250106,PIX,318.29,Aprovado,3.82
203,219,20250107,PIX,325.88,Aprovado,3.91
204,220,20240507,Crédito,379.33,Aprovado,10.62
205,221,20250516,PIX,465.09,Aprovado,5.58
206,223,20240829,Débito,4539.47,Aprovado,127.11
207,225,20240404,Crédito,270.35,Aprovado,7.57
208,225,20240403,Crédito,270.11,Aprovado,7.56
209,226,20240324,Crédito,1476.58,Aprovado,41.34
210,227,20251113,PIX,1263.61,Aprovado,15.16
211,228,20250618,Crédito,728.72,Aprovado,20.4
212,229,20240722,Crédito,594.05,Aprovado,16.63
213,230,20250318,PIX,1479.68,Aprovado,17.76
214,231,20240304,PIX,1217.69,Aprovado,14.61
215,232,20251222,Crédito,438.83,Aprovado,12.29
216,233,20250423,Crédito,619.07,Aprovado,17.33
217,235,20240117,Crédito,4065.35,Aprovado,113.83
218,236,20241203,Crédito,369.48,Aprovado,10.35
219,237,20241122,PIX,907.05,Aprovado,10.88
220,238,20251010,Crédito,2694.88,Aprovado,75.46
221,242,20250908,Crédito,593.54,Aprovado,16.62
222,242,20250907,Boleto,602.14,Aprovado,7.23
223,243,20250113,Crédito,565.93,Aprovado,15.85
224,244,20240719,Crédito,1681.57,Aprovado,47.08
225,245,20241111,Crédito,479.82,Aprovado,13.43
226,247,20240309,Crédito,298.82,Aprovado,8.37
227,248,20241120,Crédito,3342.82,Aprovado,93.6
228,249,20250520,Débito,175.07,Aprovado,4.9
229,250,20250612,PIX,294.01,Aprovado,3.53
230,251,20250609,Crédito,171.5,Aprovado,4.8
231,252,20250605,PIX,452.5,Aprovado,5.43
232,254,20241020,Crédito,342.56,Aprovado,9.59
233,255,20251206,Crédito,762.14,Aprovado,21.34
234,257,20241126,PIX,509.7,Aprovado,6.12
235,258,20251102,Crédito,1665.2,Aprovado,46.63
236,259,20241209,Crédito,323.57,Aprovado,9.06
237,261,20250126,Crédito,3576.1,Aprovado,100.13
238,262,20240131,Crédito,185.33,Aprovado,5.19
239,263,20240403,Crédito,281.23,Aprovado,7.87
240,264,20251227,Crédito,447.85,Aprovado,12.54
241,265,20241229,PIX,821.73,Aprovado,9.86
242,267,20240717,Crédito,283.0,Aprovado,7.92
243,267,20240718,PIX,278.46,Aprovado,3.34
244,268,20250505,PIX,1096.68,Aprovado,13.16
245,269,20250510,Crédito,510.33,Aprovado,14.29
246,270,20240927,PIX,224.12,Aprovado,2.69
247,271,20250302,Crédito,492.31,Aprovado,13.78
248,272,20250531,Crédito,2679.74,Aprovado,75.03
249,273,20241118,Débito,2438.12,Aprovado,68.27
250,274,20250711,Crédito,1173.92,Aprovado,32.87
251,275,20250711,PIX,591.39,Aprovado,7.1
252,276,20240119,Boleto,642.76,Aprovado,7.71
253,277,20251123,Crédito,2086.04,Aprovado,58.41
254,277,20251125,Crédito,2027.19,Aprovado,56.76
255,278,20240120,PIX,450.96,Aprovado,5.41
256,279,20250106,Crédito,571.58,Aprovado,16.0
257,281,20240701,Crédito,566.43,Aprovado,15.86
258,282,20250525,Crédito,589.43,Aprovado,16.5
259,283,20251104,Débito,624.61,Aprovado,17.49
260,285,20250915,PIX,783.22,Aprovado,9.4
261,287,20241204,Crédito,275.27,Aprovado,7.71
262,288,20250422,PIX,1850.15,Aprovado,22.2
263,289,20250316,PIX,264.84,Aprovado,3.18
264,290,20241210,Débito,877.03,Aprovado,24.56
265,291,20251113,Crédito,776.14,Estornado,21.73
266,292,20250704,Débito,1716.89,Aprovado,48.07
267,292,20250703,Crédito,1722.93,Aprovado,48.24
268,293,20240821,Boleto,860.31,Aprovado,10.32
269,294,20250727,Crédito,216.6,Aprovado,6.06
270,296,20240218,Crédito,720.56,Aprovado,20.18
271,296,20240219,Crédito,718.95,Aprovado,20.13
272,297,20251206,Crédito,533.27,Aprovado,14.93
273,298,20250128,Crédito,515.47,Aprovado,14.43
274,298,20250201,PIX,517.25,Aprovado,6.21
275,299,20250803,Crédito,2958.05,Aprovado,82.83
276,301,20251003,Boleto,299.23,Aprovado,3.59
277,302,20240213,Crédito,380.8,Aprovado,10.66
278,303,20241123,PIX,251.15,Aprovado,3.01
279,303,20241123,PIX,251.19,Aprovado,3.01
280,304,20250818,Crédito,342.56,Estornado,9.59
281,305,20241205,Crédito,2536.64,Aprovado,71.03
282,305,20241202,Boleto,2562.79,Aprovado,30.75
283,306,20240118,Boleto,1189.28,Aprovado,14.27
284,306,20240118,Crédito,1193.64,Aprovado,33.42
285,307,20240826,PIX,3495.13,Aprovado,41.94
286,308,20240909,Boleto,1525.24,Aprovado,18.3
287,308,20240909,PIX,1506.08,Aprovado,18.07
288,309,20260101,PIX,122.59,Aprovado,1.47
289,311,20240801,Débito,742.81,Aprovado,20.8
290,312,20240916,PIX,1916.32,Aprovado,23.0
291,313,20250216,PIX,34.88,Aprovado,0.42
292,314,20250418,Débito,1728.33,Aprovado,48.39
293,315,20250621,Crédito,225.44,Aprovado,6.31
294,316,20250401,PIX,1534.7,Estornado,18.42
295,317,20251003,Crédito,1296.48,Aprovado,36.3
296,318,20250707,PIX,449.38,Aprovado,5.39
297,319,20240816,Débito,1273.67,Aprovado,35.66
298,321,20240911,Crédito,696.3,Aprovado,19.5
299,322,20251229,PIX,1537.64,Aprovado,18.45
300,323,20240505,PIX,4359.51,Aprovado,52.31
301,324,20241231,PIX,498.97,Aprovado,5.99
302,326,20241023,Crédito,226.9,Aprovado,6.35
303,327,20241215,Crédito,911.52,Aprovado,25.52
304,328,20250923,Crédito,1983.25,Estornado,55.53
305,329,20251025,Crédito,205.44,Aprovado,5.75
306,330,20240718,Crédito,1119.45,Aprovado,31.34
307,331,20250418,Crédito,1686.8,Aprovado,47.23
308,332,20251207,Débito,217.75,Aprovado,6.1
309,333,20241005,Crédito,676.7,Aprovado,18.95
310,333,20241005,Crédito,686.46,Aprovado,19.22
311,334,20240909,Crédito,1104.84,Aprovado,30.94
312,335,20250126,Boleto,457.11,Aprovado,5.49
313,335,20250121,Débito,451.74,Aprovado,12.65
314,336,20250911,Crédito,304.64,Aprovado,8.53
315,338,20240421,PIX,2351.94,Aprovado,28.22
316,338,20240419,Boleto,2432.19,Aprovado,29.19
317,340,20250417,Crédito,927.68,Aprovado,25.97
318,341,20250117,Crédito,1319.56,Aprovado,36.95
319,342,20240621,PIX,1842.13,Aprovado,22.11
320,343,20241217,Crédito,1147.45,Aprovado,32.13
321,344,20250511,PIX,190.68,Aprovado,2.29
322,345,20251012,Crédito,329.88,Aprovado,9.24
323,346,20250405,Crédito,337.69,Aprovado,9.46
324,346,20250404,Débito,337.44,Aprovado,9.45
325,347,20240214,PIX,676.67,Aprovado,8.12
326,350,20240214,Crédito,1456.18,Aprovado,40.77
327,351,20251217,Crédito,1325.29,Aprovado,37.11
328,352,20251217,Crédito,116.49,Aprovado,3.26
329,352,20251215,Crédito,116.34,Aprovado,3.26
330,353,20241214,Crédito,996.7,Aprovado,27.91
331,355,20250730,Crédito,1696.22,Aprovado,47.49
332,356,20250304,Boleto,498.42,Estornado,5.98
333,358,20250131,Crédito,530.4,Aprovado,14.85
334,358,20250131,Boleto,529.45,Aprovado,6.35
335,359,20250203,Boleto,375.99,Aprovado,4.51
336,360,20250228,Crédito,198.46,Aprovado,5.56
337,361,20250205,Crédito,393.42,Aprovado,11.02
338,362,20250302,Crédito,988.79,Aprovado,27.69
339,363,20240418,Crédito,314.58,Aprovado,8.81
340,365,20250823,Crédito,227.42,Aprovado,6.37
341,365,20250822,Crédito,229.57,Aprovado,6.43
342,366,20250621,Débito,1571.19,Aprovado,43.99
343,367,20240821,Crédito,473.3,Aprovado,13.25
344,368,20240810,PIX,364.19,Aprovado,4.37
345,369,20250329,PIX,212.68,Aprovado,2.55
346,370,20251010,Crédito,1613.56,Aprovado,45.18
347,371,20240611,PIX,694.73,Aprovado,8.34
348,372,20240623,Crédito,405.37,Aprovado,11.35
349,373,20250531,Crédito,768.63,Aprovado,21.52
350,373,20250529,Crédito,797.57,Aprovado,22.33
351,374,20251228,Crédito,413.83,Aprovado,11.59
352,375,20250305,PIX,4265.17,Aprovado,51.18
353,376,20250311,Crédito,1430.24,Aprovado,40.05
354,377,20250818,Crédito,3163.72,Aprovado,88.58
355,378,20241104,Crédito,225.54,Aprovado,6.31
356,379,20240510,PIX,847.34,Aprovado,10.17
357,379,20240510,Crédito,846.38,Aprovado,23.7
358,380,20240211,Boleto,330.0,Aprovado,3.96
359,381,20241214,Crédito,1431.77,Aprovado,40.09
360,382,20250719,Débito,1767.09,Aprovado,49.48
361,383,20240130,Crédito,380.04,Aprovado,10.64
362,384,20240529,Crédito,2013.21,Aprovado,56.37
363,386,20240514,Crédito,324.55,Aprovado,9.09
364,388,20250916,PIX,628.99,Aprovado,7.55
365,388,20250919,Crédito,636.7,Aprovado,17.83
366,391,20240331,Crédito,327.62,Aprovado,9.17
367,393,20250523,Crédito,1752.11,Aprovado,49.06
368,394,20240712,PIX,271.4,Aprovado,3.26
369,395,20251102,PIX,358.84,Aprovado,4.31
370,397,20250704,Crédito,309.54,Aprovado,8.67
371,398,20240828,Débito,245.37,Aprovado,6.87
372,399,20250815,Boleto,1125.66,Aprovado,13.51
373,399,20250816,PIX,1132.6,Aprovado,13.59
374,400,20240723,Boleto,3054.65,Aprovado,36.66
375,401,20240426,Débito,2657.34,Aprovado,74.41
376,402,20251211,Crédito,8853.86,Aprovado,247.91
377,403,20250515,Crédito,855.22,Aprovado,23.95
378,404,20240630,Crédito,428.75,Aprovado,12.0
379,405,20240124,Crédito,1922.62,Aprovado,53.83
380,406,20240130,Crédito,1649.4,Aprovado,46.18
381,407,20251118,Crédito,2700.96,Aprovado,75.63
382,409,20240403,Crédito,948.26,Aprovado,26.55
383,411,20251207,Boleto,1429.6,Aprovado,17.16
384,412,20250915,Boleto,1030.06,Aprovado,12.36
385,413,20241025,Boleto,2675.84,Aprovado,32.11
386,414,20240305,Crédito,1244.21,Aprovado,34.84
387,415,20241104,Crédito,1235.53,Aprovado,34.59
388,416,20250705,Crédito,853.74,Aprovado,23.9
389,417,20251018,Crédito,3241.96,Aprovado,90.77
390,418,20240502,Boleto,1789.98,Aprovado,21.48
391,419,20251113,PIX,4987.51,Aprovado,59.85
392,421,20240704,Débito,834.71,Aprovado,23.37
393,422,20250112,Boleto,396.25,Aprovado,4.76
394,423,20240111,Débito,1334.03,Aprovado,37.35
395,424,20250715,PIX,5512.2,Aprovado,66.15
396,424,20250715,Crédito,5498.67,Aprovado,153.96
397,426,20240706,PIX,246.74,Aprovado,2.96
398,426,20240705,Crédito,242.72,Aprovado,6.8
399,427,20250906,Crédito,302.54,Aprovado,8.47
400,427,20250904,Crédito,297.11,Aprovado,8.32
401,428,20250502,Boleto,686.98,Aprovado,8.24
402,429,20240702,Crédito,1097.97,Aprovado,30.74
403,430,20241208,PIX,0.0,Aprovado,0.0
404,431,20251122,Crédito,1481.54,Aprovado,41.48
405,432,20250910,PIX,417.8,Aprovado,5.01
406,434,20240525,Débito,767.06,Aprovado,21.48
407,435,20251018,Crédito,643.9,Aprovado,18.03
408,436,20240218,Crédito,3139.24,Aprovado,87.9
409,437,20240808,Crédito,292.0,Aprovado,8.18
410,438,20250225,Boleto,1259.65,Aprovado,15.12
411,439,20250109,Débito,6922.43,Aprovado,193.83
412,440,20240817,PIX,269.44,Aprovado,3.23
413,442,20240609,PIX,299.39,Aprovado,3.59
414,443,20250706,Crédito,870.56,Aprovado,24.38
415,445,20251106,Débito,974.98,Aprovado,27.3
416,445,20251103,Crédito,945.59,Aprovado,26.48
417,446,20241212,Crédito,1269.04,Aprovado,35.53
418,447,20250403,PIX,923.05,Aprovado,11.08
419,448,20240215,Crédito,905.08,Aprovado,25.34
420,449,20240829,Crédito,278.59,Aprovado,7.8
421,449,20240826,Crédito,275.6,Aprovado,7.72
422,450,20241025,Crédito,4000.53,Aprovado,112.01
423,451,20240816,Crédito,275.26,Aprovado,7.71
424,452,20240523,Crédito,551.24,Aprovado,15.43
425,452,20240519,PIX,560.46,Aprovado,6.73
426,454,20250204,Débito,1456.2,Aprovado,40.77
427,455,20251108,PIX,407.08,Aprovado,4.88
428,456,20250902,PIX,429.52,Aprovado,5.15
429,458,20241019,Débito,1243.42,Aprovado,34.82
430,460,20240713,Crédito,683.63,Aprovado,19.14
431,460,20240714,Crédito,685.63,Aprovado,19.2
432,461,20250220,Crédito,963.28,Aprovado,26.97
433,464,20250602,Crédito,908.5,Aprovado,25.44
434,465,20240904,Crédito,831.88,Aprovado,23.29
435,466,20240823,PIX,377.25,Aprovado,4.53
436,467,20250625,Crédito,584.94,Aprovado,16.38
437,468,20241221,Crédito,340.62,Aprovado,9.54
438,469,20240927,Débito,1243.62,Aprovado,34.82
439,470,20251108,Crédito,974.69,Aprovado,27.29
440,471,20240729,Crédito,246.41,Aprovado,6.9
441,472,20240502,PIX,2200.32,Aprovado,26.4
442,474,20250207,PIX,602.23,Aprovado,7.23
443,475,20241112,Crédito,1022.8,Aprovado,28.64
444,475,20241110,Crédito,1029.83,Aprovado,28.84
445,476,20251214,Crédito,1359.2,Aprovado,38.06
446,477,20250216,Crédito,1741.93,Aprovado,48.77
447,478,20251101,Crédito,4924.44,Aprovado,137.88
448,479,20250527,Boleto,2132.49,Aprovado,25.59
449,480,20250228,Crédito,286.09,Aprovado,8.01
450,480,20250228,Crédito,287.45,Estornado,8.05
451,481,20250630,Boleto,860.6,Aprovado,10.33
452,481,20250625,Crédito,868.56,Aprovado,24.32
453,482,20250215,Boleto,1078.57,Aprovado,12.94
454,484,20251019,Crédito,1532.15,Aprovado,42.9
455,485,20251002,Crédito,471.05,Aprovado,13.19
456,485,20250930,Crédito,479.11,Aprovado,13.42
457,486,20250807,Crédito,685.35,Aprovado,19.19
458,487,20250312,PIX,374.39,Aprovado,4.49
459,488,20240919,Débito,428.64,Aprovado,12.0
460,489,20250208,Débito,187.49,Aprovado,5.25
461,489,20250207,Crédito,186.7,Aprovado,5.23
462,490,20240908,Crédito,396.54,Aprovado,11.1
463,491,20250402,Crédito,788.3,Aprovado,22.07
464,491,20250406,Crédito,789.74,Aprovado,22.11
465,492,20240415,Crédito,1331.35,Aprovado,37.28
466,493,20240218,Crédito,5874.61,Aprovado,164.49
467,494,20240915,PIX,796.82,Aprovado,9.56
468,497,20251119,Crédito,360.72,Aprovado,10.1
469,498,20241115,PIX,221.34,Aprovado,2.66
470,499,20240517,PIX,982.17,Aprovado,11.79
471,500,20240715,Crédito,619.72,Aprovado,17.35
472,502,20241223,Crédito,4508.62,Aprovado,126.24
473,503,20240804,PIX,412.68,Aprovado,4.95
474,504,20250517,PIX,1011.4,Aprovado,12.14
475,505,20241021,PIX,755.56,Aprovado,9.07
476,506,20241103,Crédito,1335.23,Aprovado,37.39
477,507,20250722,Boleto,1247.81,Aprovado,14.97
478,508,20250424,Crédito,723.89,Aprovado,20.27
479,509,20250220,Débito,211.65,Aprovado,5.93
480,509,20250222,PIX,204.94,Aprovado,2.46
481,510,20250422,Crédito,1884.42,Aprovado,52.76
482,511,20260103,Crédito,1412.03,Aprovado,39.54
483,512,20250512,Crédito,282.21,Aprovado,7.9
484,512,20250508,Crédito,278.02,Aprovado,7.78
485,513,20251005,Crédito,453.73,Aprovado,12.7
486,514,20240417,Boleto,565.28,Aprovado,6.78
487,515,20250207,PIX,1895.17,Aprovado,22.74
488,516,20251220,PIX,571.06,Aprovado,6.85
489,517,20240817,Crédito,1830.67,Aprovado,51.26
490,518,20250617,Débito,275.47,Aprovado,7.71
491,519,20251207,Crédito,208.02,Aprovado,5.82
492,520,20251226,PIX,53.88,Aprovado,0.65
493,521,20240715,Crédito,5187.81,Aprovado,145.26
494,522,20241111,PIX,166.95,Aprovado,2.0
495,523,20250513,Crédito,1058.4,Aprovado,29.64
496,523,20250517,Crédito,1080.5,Aprovado,30.25
497,524,20250913,PIX,251.71,Aprovado,3.02
498,525,20251004,Crédito,705.84,Aprovado,19.76
499,526,20251213,Débito,401.26,Aprovado,11.24
500,527,20241031,PIX,4983.39,Estornado,59.8
501,528,20250423,PIX,581.69,Aprovado,6.98
502,529,20250724,Débito,1772.24,Aprovado,49.62
503,530,20240621,Boleto,878.4,Aprovado,10.54
504,532,20240805,Boleto,316.37,Aprovado,3.8
505,533,20240916,Boleto,1219.58,Aprovado,14.63
506,534,20241003,PIX,6716.95,Aprovado,80.6
507,535,20240420,Crédito,490.25,Aprovado,13.73
508,535,20240416,PIX,493.21,Aprovado,5.92
509,536,20251025,Crédito,125.12,Aprovado,3.5
510,537,20240813,Crédito,705.86,Aprovado,19.76
511,538,20241031,Crédito,713.97,Aprovado,19.99
512,538,20241030,Crédito,704.57,Aprovado,19.73
513,539,20240817,Crédito,4110.39,Aprovado,115.09
514,540,20250720,Débito,368.61,Aprovado,10.32
515,542,20240502,Crédito,159.05,Aprovado,4.45
